,report_date,health_district,number_of_cases,number_of_hospitalizations,number_of_deaths
357,2020-10-20T00:00:00.000,Chickahominy,2221,179,56
358,2020-10-20T00:00:00.000,Crater,4849,294,111
359,2020-10-20T00:00:00.000,Cumberland Plateau,1195,77,13
360,2020-10-20T00:00:00.000,Eastern Shore,1516,144,50
361,2020-10-20T00:00:00.000,Fairfax,22999,2239,617
362,2020-10-20T00:00:00.000,Hampton,2058,86,32
363,2020-10-20T00:00:00.000,Henrico,6006,473,227
364,2020-10-20T00:00:00.000,Lenowisco,1268,97,23
365,2020-10-20T00:00:00.000,Lord Fairfax,3708,309,125
366,2020-10-20T00:00:00.000,Loudoun,7599,470,130
367,2020-10-20T00:00:00.000,Mount Rogers,3427,296,142
368,2020-10-20T00:00:00.000,New River,4039,73,28
369,2020-10-20T00:00:00.000,Norfolk,5209,398,84
370,2020-10-20T00:00:00.000,Peninsula,4917,214,91
371,2020-10-20T00:00:00.000,Piedmont,2382,148,54
372,2020-10-20T00:00:00.000,Pittsylvania-Danville,2357,175,56
373,2020-10-20T00:00:00.000,Portsmouth,2730,294,65
374,2020-10-20T00:00:00.000,Prince William,16319,1166,256
375,2020-10-20T00:00:00.000,Rappahannock,5862,424,80
376,2020-10-20T00:00:00.000,Rappahannock Rapidan,2936,185,54
377,2020-10-20T00:00:00.000,Richmond,5134,445,64
378,2020-10-20T00:00:00.000,Roanoke,2445,90,35
379,2020-10-20T00:00:00.000,Southside,1721,90,46
380,2020-10-20T00:00:00.000,Thomas Jefferson,4190,216,76
381,2020-10-20T00:00:00.000,Three Rivers,2142,134,36
382,2020-10-20T00:00:00.000,Virginia Beach,7593,422,102
383,2020-10-20T00:00:00.000,Western Tidewater,4468,226,146
384,2020-10-20T00:00:00.000,West Piedmont,2694,281,84
385,2020-10-19T00:00:00.000,Alexandria,4123,323,75
386,2020-10-19T00:00:00.000,Alleghany,2228,100,30
387,2020-10-19T00:00:00.000,Arlington,4384,519,152
388,2020-10-19T00:00:00.000,Central Shenandoah,6472,291,77
389,2020-10-19T00:00:00.000,Central Virginia,4333,163,54
390,2020-10-19T00:00:00.000,Chesapeake,4748,460,79
391,2020-10-19T00:00:00.000,Chesterfield,7261,439,130
392,2020-10-19T00:00:00.000,Chickahominy,2208,177,56
393,2020-10-19T00:00:00.000,Crater,4839,292,111
394,2020-10-19T00:00:00.000,Cumberland Plateau,1184,76,13
395,2020-10-19T00:00:00.000,Eastern Shore,1514,143,50
396,2020-10-19T00:00:00.000,Fairfax,22916,2239,617
397,2020-10-19T00:00:00.000,Hampton,2039,86,31
398,2020-10-19T00:00:00.000,Henrico,5970,472,224
399,2020-10-19T00:00:00.000,Lenowisco,1242,96,23
400,2020-10-19T00:00:00.000,Lord Fairfax,3674,307,121
401,2020-10-19T00:00:00.000,Loudoun,7576,468,129
402,2020-10-19T00:00:00.000,Mount Rogers,3402,295,139
403,2020-10-19T00:00:00.000,New River,4006,72,28
404,2020-10-19T00:00:00.000,Norfolk,5179,396,84
405,2020-10-19T00:00:00.000,Peninsula,4888,213,89
406,2020-10-19T00:00:00.000,Piedmont,2360,147,53
407,2020-10-19T00:00:00.000,Pittsylvania-Danville,2346,175,55
408,2020-10-19T00:00:00.000,Portsmouth,2724,294,65
409,2020-10-19T00:00:00.000,Prince William,16257,1157,252
410,2020-10-19T00:00:00.000,Rappahannock,5829,421,80
411,2020-10-19T00:00:00.000,Rappahannock Rapidan,2915,184,54
412,2020-10-19T00:00:00.000,Richmond,5109,441,64
413,2020-10-19T00:00:00.000,Roanoke,2385,89,35
