,age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
448,65+,32145,2020-06-30,13.8,4637.0,77.6,15.6
449,Missing,233,2020-06-30,0.1,1.0,0.0,0.0
450,0-17,19328,2020-07-01,8.0,0.0,0.0,22.5
451,18-49,138340,2020-07-01,57.6,361.0,6.0,43.5
452,50-64,49466,2020-07-01,20.6,1002.0,16.5,18.4
453,65+,32815,2020-07-01,13.7,4695.0,77.5,15.6
454,Missing,246,2020-07-01,0.1,1.0,0.0,0.0
455,0-17,20088,2020-07-02,8.1,0.0,0.0,22.5
456,18-49,143601,2020-07-02,57.8,369.0,6.0,43.5
457,50-64,50845,2020-07-02,20.5,1023.0,16.5,18.4
458,65+,33445,2020-07-02,13.5,4791.0,77.5,15.6
459,Missing,256,2020-07-02,0.1,1.0,0.0,0.0
460,0-17,20610,2020-07-03,8.1,0.0,0.0,22.5
461,18-49,147853,2020-07-03,58.0,375.0,6.0,43.5
462,50-64,51955,2020-07-03,20.4,1036.0,16.6,18.4
463,65+,34055,2020-07-03,13.4,4835.0,77.4,15.6
464,Missing,272,2020-07-03,0.1,1.0,0.0,0.0
465,0-17,21219,2020-07-04,8.2,0.0,0.0,22.5
466,18-49,151294,2020-07-04,58.2,378.0,6.0,43.5
467,50-64,52869,2020-07-04,20.3,1038.0,16.6,18.4
468,65+,34493,2020-07-04,13.3,4848.0,77.4,15.6
