County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Laclede,MO,,0,0,0,12:12.2
Lawrence,MO,,0,0,0,12:12.2
Lewis,MO,,0,0,0,12:12.2
Lincoln,MO,,7,1,6,12:12.2
Linn,MO,,0,0,0,12:12.2
Livingston,MO,,1,0,1,12:12.2
Macon,MO,,3,0,3,12:12.2
Madison,MO,,0,0,0,12:12.2
Maries,MO,,1,0,1,12:12.2
Marion,MO,,0,0,0,12:12.2
McDonald,MO,,2,0,2,12:12.2
Mercer,MO,,0,0,0,12:12.2
Miller,MO,,0,0,0,12:12.2
Mississippi,MO,,0,0,0,12:12.2
Moniteau,MO,,2,0,2,12:12.2
Monroe,MO,,0,0,0,12:12.2
Montgomery,MO,,2,0,2,12:12.2
Morgan,MO,,1,0,1,12:12.2
New Madrid,MO,,0,0,0,12:12.2
Newton,MO,,5,3,2,12:12.2
Nodaway,MO,,0,0,0,12:12.2
Oregon,MO,,0,0,0,12:12.2
Osage,MO,,1,0,1,12:12.2
Ozark,MO,,0,0,0,12:12.2
Pemiscot,MO,,2,0,2,12:12.2
Perry,MO,,14,9,5,12:12.2
Pettis,MO,,1,0,1,12:12.2
Phelps,MO,,0,0,0,12:12.2
Pike,MO,,1,1,0,12:12.2
Platte,MO,,9,0,9,12:12.2
Polk,MO,,0,0,0,12:12.2
Pulaski,MO,,7,1,6,12:12.2
Putnam,MO,,0,0,0,12:12.2
Ralls,MO,,1,1,0,12:12.2
Randolph,MO,,2,0,2,12:12.2
Ray,MO,,1,0,1,12:12.2
Reynolds,MO,,2,1,1,12:12.2
Ripley,MO,,2,0,2,12:12.2
Saline,MO,,0,0,0,12:12.2
Schuyler,MO,,0,0,0,12:12.2
Scotland,MO,,0,0,0,12:12.2
Scott,MO,,6,1,5,12:12.2
Shannon,MO,,0,0,0,12:12.2
Shelby,MO,,1,1,0,12:12.2
St. Charles,MO,,71,11,60,12:12.2
St. Clair,MO,,0,0,0,12:12.2
St. Francois,MO,,5,1,4,12:12.2
Ste. Genevieve,MO,,2,0,2,12:12.2
Stoddard,MO,,3,0,3,12:12.2
Stone,MO,,1,1,0,12:12.2
Sullivan,MO,,0,0,0,12:12.2
Taney,MO,,2,0,2,12:12.2
Texas,MO,,0,0,0,12:12.2
Vernon,MO,,0,0,0,12:12.2
Warren,MO,,5,0,5,12:12.2
Washington,MO,,0,0,0,12:12.2
Wayne,MO,,0,0,0,12:12.2
Webster,MO,,2,0,2,12:12.2
Worth,MO,,0,0,0,12:12.2
Wright,MO,,4,1,3,12:12.2
TBD,MO,,1,0,1,12:12.2
Boone,MO,1,64,3,61,13:49.9
Camden,MO,1,12,2,10,13:49.9
Greene,MO,3,48,17,31,13:49.9
Henry,MO,1,1,1,0,13:49.9
Jackson,MO,1,77,5,72,13:49.9
Lafayette,MO,1,19,0,19,13:49.9
St. Charles County,MO,2,,,,13:49.9
St. Louis City,MO,1,136,11,125,13:49.9
St. Louis County,MO,3,492,29,463,13:49.9
Adair,MO,,2,0,2,13:49.9
Andrew,MO,,0,0,0,13:49.9
Atchison,MO,,1,1,0,13:49.9
Audrain,MO,,0,0,0,13:49.9
Barry,MO,,1,0,1,13:49.9
Barton,MO,,0,0,0,13:49.9
Bates,MO,,1,0,1,13:49.9
Benton,MO,,2,0,2,13:49.9
Bollinger,MO,,1,0,1,13:49.9
Buchanan,MO,,5,0,5,13:49.9
Butler,MO,,0,0,0,13:49.9
Caldwell,MO,,0,0,0,13:49.9
Callaway,MO,,14,1,13,13:49.9
Cape Girardeau,MO,,15,0,15,13:49.9
Carroll,MO,,0,0,0,13:49.9
Carter,MO,,4,1,3,13:49.9
Cass,MO,,14,3,11,13:49.9
Cedar,MO,,3,0,3,13:49.9
Chariton,MO,,4,0,4,13:49.9
Christian,MO,,11,4,7,13:49.9
Clark,MO,,0,0,0,13:49.9
Clay,MO,,16,0,16,13:49.9
Clinton,MO,,4,0,4,13:49.9
Cole,MO,,23,3,20,13:49.9
Cooper,MO,,2,0,2,13:49.9
Crawford,MO,,1,0,1,13:49.9
Dade,MO,,0,0,0,13:49.9
Dallas,MO,,0,0,0,13:49.9
Daviess,MO,,0,0,0,13:49.9
DeKalb,MO,,0,0,0,13:49.9
Dent,MO,,0,0,0,13:49.9
Douglas,MO,,0,0,0,13:49.9
Dunklin,MO,,5,0,5,13:49.9
Franklin,MO,,13,0,13,13:49.9
Gasconade,MO,,0,0,0,13:49.9
Gentry,MO,,0,0,0,13:49.9
Grundy,MO,,0,0,0,13:49.9
