deaths,fips,hospitalizations,locality,report_date,total_cases,vdh_health_district
17,51077,27,Grayson,2020-10-13 00:00:00,344,Mount Rogers
3,51079,12,Greene,2020-10-13 00:00:00,255,Thomas Jefferson
11,51081,37,Greensville,2020-10-13 00:00:00,835,Crater
7,51083,14,Halifax,2020-10-13 00:00:00,421,Southside
40,51085,110,Hanover,2020-10-13 00:00:00,1468,Chickahominy
221,51087,462,Henrico,2020-10-13 00:00:00,5801,Henrico
29,51089,130,Henry,2020-10-13 00:00:00,1194,West Piedmont
0,51091,0,Highland,2020-10-13 00:00:00,9,Central Shenandoah
21,51093,38,Isle of Wight,2020-10-13 00:00:00,809,Western Tidewater
21,51095,67,James City,2020-10-13 00:00:00,903,Peninsula
1,51097,12,King and Queen,2020-10-13 00:00:00,83,Three Rivers
4,51099,24,King George,2020-10-13 00:00:00,257,Rappahannock
2,51101,15,King William,2020-10-13 00:00:00,181,Three Rivers
0,51103,8,Lancaster,2020-10-13 00:00:00,170,Three Rivers
8,51105,29,Lee,2020-10-13 00:00:00,343,Lenowisco
128,51107,451,Loudoun,2020-10-13 00:00:00,7303,Loudoun
7,51109,32,Louisa,2020-10-13 00:00:00,346,Thomas Jefferson
3,51111,7,Lunenburg,2020-10-13 00:00:00,132,Piedmont
3,51113,8,Madison,2020-10-13 00:00:00,117,Rappahannock Rapidan
0,51115,8,Mathews,2020-10-13 00:00:00,121,Three Rivers
34,51117,45,Mecklenburg,2020-10-13 00:00:00,837,Southside
11,51119,8,Middlesex,2020-10-13 00:00:00,135,Three Rivers
5,51121,27,Montgomery,2020-10-13 00:00:00,2381,New River
2,51125,5,Nelson,2020-10-13 00:00:00,119,Thomas Jefferson
3,51127,14,New Kent,2020-10-13 00:00:00,253,Chickahominy
31,51131,49,Northampton,2020-10-13 00:00:00,311,Eastern Shore
6,51133,12,Northumberland,2020-10-13 00:00:00,204,Three Rivers
20,51135,44,Nottoway,2020-10-13 00:00:00,306,Piedmont
5,51137,24,Orange,2020-10-13 00:00:00,358,Rappahannock Rapidan
29,51139,47,Page,2020-10-13 00:00:00,439,Lord Fairfax
26,51141,52,Patrick,2020-10-13 00:00:00,295,West Piedmont
11,51143,67,Pittsylvania,2020-10-13 00:00:00,1163,Pittsylvania-Danville
5,51145,16,Powhatan,2020-10-13 00:00:00,266,Chesterfield
12,51147,34,Prince Edward,2020-10-13 00:00:00,679,Piedmont
5,51149,24,Prince George,2020-10-13 00:00:00,961,Crater
216,51153,951,Prince William,2020-10-13 00:00:00,13281,Prince William
5,51155,15,Pulaski,2020-10-13 00:00:00,255,New River
2,51157,5,Rappahannock,2020-10-13 00:00:00,66,Rappahannock Rapidan
4,51159,14,Richmond County,2020-10-13 00:00:00,368,Three Rivers
8,51161,41,Roanoke County,2020-10-13 00:00:00,1155,Alleghany
3,51163,7,Rockbridge,2020-10-13 00:00:00,143,Central Shenandoah
22,51165,122,Rockingham,2020-10-13 00:00:00,1640,Central Shenandoah
7,51167,31,Russell,2020-10-13 00:00:00,355,Cumberland Plateau
5,51169,20,Scott,2020-10-13 00:00:00,233,Lenowisco
59,51171,94,Shenandoah,2020-10-13 00:00:00,881,Lord Fairfax
22,51173,51,Smyth,2020-10-13 00:00:00,578,Mount Rogers
30,51175,23,Southampton,2020-10-13 00:00:00,819,Western Tidewater
46,51177,140,Spotsylvania,2020-10-13 00:00:00,2278,Rappahannock
19,51179,166,Stafford,2020-10-13 00:00:00,2174,Rappahannock
3,51181,10,Surry,2020-10-13 00:00:00,134,Crater
12,51183,29,Sussex,2020-10-13 00:00:00,633,Crater
2,51185,18,Tazewell,2020-10-13 00:00:00,383,Cumberland Plateau
13,51187,34,Warren,2020-10-13 00:00:00,493,Lord Fairfax
21,51191,72,Washington,2020-10-13 00:00:00,742,Mount Rogers
4,51193,25,Westmoreland,2020-10-13 00:00:00,306,Three Rivers
9,51195,35,Wise,2020-10-13 00:00:00,494,Lenowisco
6,51197,26,Wythe,2020-10-13 00:00:00,285,Mount Rogers
9,51199,17,York,2020-10-13 00:00:00,592,Peninsula
73,51510,323,Alexandria,2020-10-13 00:00:00,4045,Alexandria
7,51520,14,Bristol,2020-10-13 00:00:00,216,Mount Rogers
1,51530,5,Buena Vista City,2020-10-13 00:00:00,108,Central Shenandoah
