Health District Name,Report Date,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
Henrico,4/25/2020,Not Reported,6,0,1,2020-04-25 20:31:07.033242
Alexandria,4/25/2020,Female,299,38,8,2020-04-25 20:31:07.033242
Arlington,4/25/2020,Not Reported,5,0,0,2020-04-25 20:31:07.033242
Three Rivers,4/25/2020,Female,46,6,1,2020-04-25 20:31:07.033242
Peninsula,4/25/2020,Male,155,54,7,2020-04-25 20:31:07.033242
Southside,4/25/2020,Female,76,9,5,2020-04-25 20:31:07.033242
Prince William,4/25/2020,Not Reported,10,0,0,2020-04-25 20:31:07.033242
Pittsylvania-Danville,4/25/2020,Male,18,8,1,2020-04-25 20:31:07.033242
Central Virginia,4/25/2020,Female,46,3,0,2020-04-25 20:31:07.033242
Lord Fairfax,4/25/2020,Female,183,15,1,2020-04-25 20:31:07.033242
Western Tidewater,4/25/2020,Male,179,26,3,2020-04-25 20:31:07.033242
Central Shenandoah,4/25/2020,Not Reported,7,0,0,2020-04-25 20:31:07.033242
Richmond,4/25/2020,Not Reported,4,1,2,2020-04-25 20:31:07.033242
Eastern Shore,4/25/2020,Male,89,8,1,2020-04-25 20:31:07.033242
Rappahannock Rapidan,4/25/2020,Female,105,8,1,2020-04-25 20:31:07.033242
Roanoke,4/25/2020,Male,18,3,0,2020-04-25 20:31:07.033242
West Piedmont,4/25/2020,Female,18,1,0,2020-04-25 20:31:07.033242
Mount Rogers,4/25/2020,Male,31,10,4,2020-04-25 20:31:07.033242
Cumberland Plateau,4/25/2020,Female,12,1,0,2020-04-25 20:31:07.033242
Chickahominy,4/25/2020,Not Reported,4,1,0,2020-04-25 20:31:07.033242
Arlington,4/25/2020,Female,382,63,12,2020-04-25 20:31:07.033242
Central Shenandoah,4/25/2020,Female,354,18,4,2020-04-25 20:31:07.033242
Lenowisco,4/25/2020,Female,17,5,1,2020-04-25 20:31:07.033242
