age_group,health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
30-39,Cumberland Plateau,23,0,1,2020-07-22 00:00:00
40-49,Cumberland Plateau,27,0,1,2020-07-22 00:00:00
50-59,Cumberland Plateau,27,0,2,2020-07-22 00:00:00
60-69,Cumberland Plateau,16,0,2,2020-07-22 00:00:00
70-79,Cumberland Plateau,10,0,1,2020-07-22 00:00:00
80+,Cumberland Plateau,5,0,3,2020-07-22 00:00:00
Missing,Cumberland Plateau,0,0,0,2020-07-22 00:00:00
0-9,Eastern Shore,21,0,2,2020-07-22 00:00:00
10-19,Eastern Shore,61,0,1,2020-07-22 00:00:00
20-29,Eastern Shore,201,0,6,2020-07-22 00:00:00
30-39,Eastern Shore,243,0,10,2020-07-22 00:00:00
40-49,Eastern Shore,252,2,12,2020-07-22 00:00:00
50-59,Eastern Shore,277,5,20,2020-07-22 00:00:00
60-69,Eastern Shore,181,8,29,2020-07-22 00:00:00
70-79,Eastern Shore,50,9,18,2020-07-22 00:00:00
80+,Eastern Shore,50,19,22,2020-07-22 00:00:00
Missing,Eastern Shore,6,0,0,2020-07-22 00:00:00
0-9,Fairfax,527,0,20,2020-07-22 00:00:00
10-19,Fairfax,974,0,29,2020-07-22 00:00:00
