COUNTY,COUNTYNAME,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Scrape_Time
051,HENDRY,3858,137,231,564,687,631,552,488,277,167,117,7,0 to 104,39,1895,1951,12,3854,4,0,438,1783,1748,30,1878,1979,1,0,3853,847,1025,4,1876,58,126,306,372,337,277,204,111,56,31,0,0 to 101,37,1481,217,75,103,1269,517,90,297,0,161,0,0,39,1878,1026,848,1876,2,0,6833,2,8732,6835,1878,39,2436,2009,2020-08-15 20:05:38.803527
053,HERNANDO,6175,108,150,612,837,768,891,1029,800,582,372,26,0 to 102,51,3663,2497,15,6147,28,0,602,4110,2409,60,2200,3972,0,3,6144,1210,973,3,2186,29,73,293,345,296,329,310,232,160,111,22,0 to 101,46,1640,240,282,24,401,1742,43,411,2,284,2,1,60,2200,977,1220,2186,14,0,17814,14,20041,17828,2200,60,2482,2431,2020-08-15 20:05:38.803527
055,HIGHLANDS,5364,100,152,368,649,552,658,829,870,748,418,20,0 to 119,57,3127,2197,40,5296,68,0,192,4119,1362,52,1581,3775,0,8,5288,840,732,3,1575,28,63,179,259,211,238,245,163,134,61,0,0 to 98,47,930,242,210,193,440,877,258,338,2,174,1,0,41,1581,736,842,1575,6,0,15177,62,16831,15239,1581,41,1482,1368,2020-08-15 20:05:38.803527
057,HILLSBOROUGH,83893,1963,3016,9680,14334,12723,12909,12531,9048,4829,2283,577,0 to 119,44,46724,36657,512,83414,479,0,4316,70402,11229,504,34040,49632,23,198,83193,17986,15670,245,33901,740,1561,5668,7167,5505,5134,3870,2098,1174,658,465,0 to 119,37,11494,4394,4613,13400,8413,9992,15496,2725,20,1494,14,5,460,34040,15733,18061,33901,139,0,219422,351,254322,219773,34040,460,6150,5803,2020-08-15 20:05:38.803527
059,HOLMES,1373,26,46,141,203,211,224,211,193,85,32,1,0 to 119,48,686,673,14,1354,19,0,35,825,460,62,528,841,0,4,1350,196,321,1,518,11,18,73,107,104,86,58,45,18,8,0,0 to 96,39,365,81,37,35,25,417,76,33,0,16,0,0,4,528,325,202,518,10,0,3821,9,4365,3830,528,4,549,543,2020-08-15 20:05:38.803527
061,INDIAN RIVER,8375,127,245,786,906,915,1084,1278,1317,963,738,16,0 to 119,56,4966,3359,50,8303,72,0,439,5924,2565,108,2640,5682,0,53,8252,1411,1186,28,2625,48,137,407,402,368,376,319,225,197,159,2,0 to 101,43,1160,311,307,847,519,1071,1035,367,7,211,3,0,65,2640,1195,1417,2625,15,0,25506,56,28214,25562,2640,65,2276,1795,2020-08-15 20:05:38.803527
063,JACKSON,4893,62,118,449,886,865,845,720,446,300,200,2,0 to 105,45,1992,2838,63,4863,30,0,49,2890,1938,46,2018,2870,0,5,4858,605,1393,5,2003,21,54,189,420,400,361,274,143,89,67,0,0 to 100,43,852,394,94,663,75,843,1085,153,2,104,0,0,51,2018,1401,612,2003,15,0,10403,18,12451,10421,2018,51,1213,1014,2020-08-15 20:05:38.803527
065,JEFFERSON,1077,24,27,87,135,159,168,210,167,78,21,1,0 to 101,51,471,603,3,1068,9,0,27,797,381,18,467,607,1,2,1065,114,347,0,461,5,8,45,84,77,87,93,46,14,8,0,0 to 95,46,184,246,21,10,23,404,34,41,2,26,0,0,5,467,352,115,461,6,0,2612,4,3098,2616,467,5,295,257,2020-08-15 20:05:38.803527
067,LAFAYETTE,1252,11,8,121,339,300,165,125,81,56,45,1,0 to 119,39,299,947,6,1252,0,0,17,1035,382,2,936,313,0,3,1249,97,838,1,936,6,8,77,303,258,137,91,40,11,5,0,1 to 98,36,363,139,29,405,60,409,467,28,0,10,0,0,2,936,838,97,936,0,0,1186,0,2129,1186,936,2,125,125,2020-08-15 20:05:38.803527
069,LAKE,20858,349,508,1658,2361,2358,2760,3245,3321,2281,792,1225,0 to 103,54,11041,8899,918,20703,155,0,674,18279,1732,125,5587,15102,0,169,20536,2847,2592,114,5553,100,224,839,989,876,859,754,491,296,135,24,0 to 103,41,1800,690,1098,1965,848,2280,2425,505,13,317,5,1,82,5587,2612,2860,5553,34,0,62361,124,68157,62485,5587,82,1799,1508,2020-08-15 20:05:38.803527
071,LEE,41159,593,976,4197,5745,5626,6024,6407,5935,3775,1781,100,0 to 119,50,22962,17854,343,39991,1167,1,1760,33667,11317,271,17305,23822,2,30,39960,8867,7952,188,17007,313,609,2670,3143,2777,2735,2205,1419,824,565,45,0 to 103,41,7151,1664,873,7319,3850,5487,7670,2089,22,1181,19,8,375,17305,8110,9001,17006,298,1,100267,928,118556,101195,17305,375,4223,2620,2020-08-15 20:05:38.803527
073,LEON,18052,301,555,3243,3078,2572,2561,2610,1936,756,389,51,0 to 119,41,9421,8509,122,17732,319,1,1297,14339,3661,170,5363,12651,2,36,17696,2773,2462,12,5247,81,218,1810,1047,692,608,517,232,88,51,19,0 to 105,29,1580,1681,578,1408,370,2772,2105,397,14,146,10,7,27,5363,2524,2827,5246,116,1,57731,226,63437,57957,5363,27,2308,1892,2020-08-15 20:05:38.803527
075,LEVY,2519,58,92,294,324,284,366,440,340,229,88,4,0 to 118,50,1431,1072,16,2514,5,0,189,1549,987,19,754,1763,0,2,2512,375,373,2,750,17,40,132,116,98,124,99,73,41,11,3,0 to 99,41,375,129,157,89,187,441,122,69,0,48,0,0,5,754,376,376,750,4,0,5775,1,6539,5776,754,5,981,931,2020-08-15 20:05:38.803527
077,LIBERTY,2403,11,18,222,696,573,424,296,109,38,8,8,0 to 105,38,309,2088,6,2403,0,0,12,1938,249,7,411,1992,0,0,2403,91,320,0,411,4,6,65,89,76,83,63,17,7,1,0,0 to 85,40,269,114,13,15,18,292,101,21,0,8,0,0,7,411,320,91,411,0,0,2751,0,3162,2751,411,7,362,337,2020-08-15 20:05:38.803527
079,MADISON,1852,93,118,217,236,249,270,249,232,121,61,6,0 to 99,45,1128,720,4,1821,31,0,94,1038,893,57,754,1096,1,1,1819,428,313,0,741,36,60,105,107,115,124,98,66,19,24,0,0 to 98,40,198,494,32,17,43,643,55,132,1,34,0,1,10,754,317,437,741,13,0,4446,18,5229,4464,754,10,858,759,2020-08-15 20:05:38.803527
081,MANATEE,23929,473,917,2315,2934,2942,3242,3935,3843,2338,876,114,0 to 119,52,13233,10318,378,23588,341,0,2506,18661,5829,94,9735,14179,3,12,23573,5005,4473,151,9629,231,627,1559,1709,1559,1425,1194,737,459,224,11,0 to 101,39,4394,913,1329,2993,2497,3472,3660,601,8,684,7,2,245,9735,4523,5057,9629,106,0,78546,267,88619,78813,9735,245,695,596,2020-08-15 20:05:38.803527
083,MARION,25595,335,665,2238,3515,3490,3734,4086,3959,2519,991,63,0 to 168,51,15511,9981,103,25558,37,0,5931,13172,8982,255,7161,18178,1,255,25304,4271,2824,52,7147,87,216,883,1404,1389,1158,939,560,331,156,38,0 to 104,41,4253,1492,566,836,952,4853,1342,958,5,574,0,0,113,7161,2827,4282,7147,14,0,48067,25,55362,48092,7161,113,1833,1668,2020-08-15 20:05:38.803527
085,MARTIN,10257,208,350,981,1195,1277,1362,1667,1565,1125,504,23,0 to 100,53,5164,4701,392,10152,105,0,892,6941,3442,113,3913,6293,1,50,10102,1891,1977,20,3888,106,218,620,658,633,600,430,267,221,157,3,0 to 100,40,1759,236,1052,841,1807,1460,621,602,4,347,3,1,104,3913,1992,1901,3888,25,0,22542,77,26569,22619,3913,104,2061,2050,2020-08-15 20:05:38.803527
087,MONROE,5857,110,167,505,866,864,1009,1103,763,354,113,3,0 to 101,49,3001,2817,39,5760,97,0,1583,2539,1994,155,1622,4171,0,64,5698,759,826,9,1594,37,66,199,315,290,295,211,129,63,16,1,0 to 100,41,1080,113,75,326,592,638,364,244,5,101,4,0,13,1622,843,770,1594,28,0,12896,67,14597,12963,1622,13,2888,2611,2020-08-15 20:05:38.803527
089,NASSAU,4731,70,117,514,530,580,680,861,734,448,192,5,0 to 103,53,2611,2030,90,4553,178,0,241,3437,843,142,1316,3381,0,34,4520,625,609,2,1236,18,38,264,177,197,207,204,126,61,24,0,0 to 95,43,824,126,65,221,64,911,261,172,6,78,1,0,13,1316,642,672,1236,80,0,14261,98,15693,14359,1316,13,1335,1329,2020-08-15 20:05:38.803527
091,OKALOOSA,10630,237,329,1195,1732,1566,1425,1481,1100,855,663,47,0 to 119,46,6191,4324,115,10469,160,1,582,7364,1662,136,3696,6894,1,39,10430,1976,1640,52,3668,38,132,630,743,592,505,448,296,174,131,7,0 to 103,39,1953,345,642,728,491,2308,869,330,4,190,2,0,50,3696,1651,1993,3667,28,1,26625,134,30499,26759,3696,50,3257,2826,2020-08-15 20:05:38.803527
093,OKEECHOBEE,2682,64,150,411,369,355,338,388,236,211,148,12,0 to 119,44,1465,1198,19,2670,12,0,314,1496,993,18,1125,1555,0,2,2668,545,573,3,1121,33,98,211,176,184,146,152,51,55,18,1,0 to 94,37,758,113,147,103,537,469,115,157,1,109,3,0,12,1125,574,548,1121,4,0,6169,8,7316,6177,1125,12,1076,995,2020-08-15 20:05:38.803527
095,ORANGE,93239,1679,2446,10467,16190,14762,14556,13468,9026,4321,1720,4604,0 to 120,44,50061,42405,773,91862,1376,1,3934,83125,10325,557,33180,59595,3,461,91400,16545,15793,427,32765,528,974,6022,7873,5946,4970,3598,1820,944,422,83,0 to 106,36,7846,4501,5780,14638,6051,7747,18967,1922,53,1003,42,6,351,33180,16008,16736,32764,415,1,249312,986,283767,250298,33180,351,3575,3347,2020-08-15 20:05:38.803527
097,OSCEOLA,23260,330,925,2468,3754,3785,3898,3362,2372,1197,452,717,0 to 155,45,12611,10410,239,23151,109,0,2579,16549,4635,248,10228,12885,2,145,23005,5253,4744,150,10147,139,471,1499,2031,1897,1767,1137,701,378,155,53,0 to 104,39,3258,567,3040,3282,4571,1785,3791,842,12,465,8,2,118,10228,4796,5279,10147,81,0,56499,29,66882,56528,10228,118,3704,3195,2020-08-15 20:05:38.803527
099,PALM BEACH,100747,1650,2922,9758,14145,13403,14661,15926,12965,8776,4876,1665,0 to 119,50,54474,45880,393,99757,988,2,8101,78524,25962,714,38902,61403,163,279,99320,19851,18529,171,38551,638,1497,5691,7295,6387,6026,5014,2872,1895,1518,69,0 to 106,41,14315,6184,6701,11351,10596,15067,12888,4161,46,2984,31,16,989,38902,18715,20010,38549,351,2,253506,658,293666,254164,38902,989,9976,9712,2020-08-15 20:05:38.803527
101,PASCO,21183,415,632,2150,2886,3031,3371,3406,2803,1678,746,65,0 to 119,49,11927,9140,116,21078,105,0,1584,15140,6299,265,7406,13655,2,120,20956,3809,3508,49,7366,118,249,1113,1282,1180,1172,969,675,394,216,38,0 to 105,42,4905,527,1110,824,1656,4590,1120,951,9,637,4,1,149,7406,3529,3828,7366,40,0,63266,68,70791,63334,7406,149,4669,4118,2020-08-15 20:05:38.803527
103,PINELLAS,53714,578,1030,4622,7574,6610,7815,9640,8104,4914,2740,87,0 to 120,53,30471,23176,67,53308,406,0,4985,40877,17243,560,18660,35036,1,17,53291,9945,8578,1,18524,250,631,2678,3667,2586,2687,2642,1653,1081,777,8,0 to 104,42,9670,3241,1596,4017,2051,11302,5171,2522,29,1825,22,2,544,18660,8649,10009,18524,136,0,160603,277,179684,160880,18660,544,1281,1189,2020-08-15 20:05:38.803527
105,POLK,32958,786,1347,3527,5002,4867,4843,4715,4001,2431,1061,378,0 to 119,46,18209,14401,348,32829,129,0,2401,24885,7505,268,15312,17581,1,64,32764,8004,7053,202,15259,311,780,2246,2831,2647,2307,1820,1214,717,391,48,0 to 103,40,7386,2722,1452,3699,3988,6330,4941,2047,13,1700,13,2,358,15312,7076,8034,15259,53,0,87410,77,102906,87487,15312,358,5623,5054,2020-08-15 20:05:38.803527
107,PUTNAM,4721,110,247,554,691,630,695,740,511,342,181,20,0 to 118,46,2805,1866,50,4712,9,0,616,3506,1389,26,1602,3117,0,2,4710,827,755,19,1601,41,152,278,240,248,210,192,115,77,40,9,0 to 100,38,821,458,193,129,336,1086,179,307,1,179,0,0,31,1602,756,827,1601,1,0,11859,8,13482,11867,1602,31,282,214,2020-08-15 20:05:38.803527
113,SANTA ROSA,11304,309,475,1346,1663,1675,1764,1757,1320,691,293,11,0 to 119,46,5755,5512,37,11209,95,0,645,7164,3388,208,4173,7108,1,22,11186,1758,2370,8,4136,58,138,759,753,683,672,581,287,161,80,1,0 to 105,39,2501,528,220,887,171,2949,1016,166,1,216,2,1,47,4173,2383,1782,4136,37,0,25679,58,29948,25737,4173,47,3705,3160,2020-08-15 20:05:38.803527
115,SARASOTA,19269,223,421,1660,2207,2120,2551,3227,3337,2310,1147,66,0 to 119,56,10589,8402,278,18996,273,0,875,16908,2906,118,6652,12600,1,16,18981,3417,3017,164,6598,73,232,1040,1117,980,964,841,634,443,303,25,0 to 104,43,2640,396,552,3010,624,2327,3647,414,18,386,12,2,173,6652,3048,3440,6598,54,0,70075,224,77003,70299,6652,173,1109,1004,2020-08-15 20:05:38.803527
117,SEMINOLE,23812,372,670,2678,3458,3311,3667,3623,2953,1459,780,841,0 to 119,47,13341,10273,198,23752,60,0,1125,19535,3237,167,7424,16328,1,59,23695,3962,3365,70,7397,131,255,1435,1473,1103,1103,819,519,302,281,3,0 to 108,38,3002,817,986,2592,1099,2646,3652,777,5,506,1,0,145,7424,3377,3975,7397,27,0,63272,36,70798,63308,7424,145,2768,2526,2020-08-15 20:05:38.803527
109,ST. JOHNS,14272,191,470,1657,1610,2077,2367,2401,1952,1038,488,21,0 to 119,49,7705,6360,207,14205,67,0,945,10696,2955,322,3948,10266,10,48,14148,1985,1866,49,3900,37,132,859,544,573,629,588,311,177,94,4,0 to 101,42,2559,309,246,786,293,2683,924,333,5,211,5,0,44,3948,1885,2008,3900,48,0,38930,18,42928,38948,3948,44,3135,3095,2020-08-15 20:05:38.803527
111,ST. LUCIE,16473,308,496,1518,2243,2263,2540,2655,2174,1394,823,59,0 to 119,50,9473,6733,267,16320,153,0,1328,11734,4296,153,6192,9999,5,277,16038,3353,2743,73,6169,116,257,831,1045,1005,966,832,535,335,246,24,0 to 104,43,2056,1367,920,1826,1292,2521,2356,549,2,388,2,1,196,6192,2754,3365,6169,23,0,38903,132,45278,39035,6192,196,4001,3986,2020-08-15 20:05:38.803527
998,A State,1426113,25010,43078,147437,219705,208476,223498,226651,171251,98971,48862,13174,0 to 225,48,768638,644369,13106,1407878,18227,8,92304,1108014,302244,11213,569637,852305,381,3790,1403753,287183,272328,4117,563628,9544,22767,85563,108866,94026,91390,74131,42864,24574,14322,1590,0 to 119,40,227482,86038,67677,182431,154336,201792,207500,56776,621,33661,413,135,9345,569637,275344,290010,563620,6009,8,3620370,12718,4209375,3633088,569637,9345,169357,156418,2020-08-15 20:05:38.803527
119,SUMTER,5222,34,83,208,299,331,464,700,1726,1116,176,85,0 to 119,68,2688,2392,142,5142,80,0,338,3929,1255,133,1475,3725,0,22,5120,734,730,3,1467,6,47,114,121,169,206,203,341,217,51,0,1 to 99,58,799,256,77,335,69,1010,388,312,1,190,0,0,44,1475,733,739,1467,8,0,17250,73,18815,17323,1475,44,757,745,2020-08-15 20:05:38.803527
121,SUWANNEE,4098,101,169,476,600,601,567,610,444,293,226,11,0 to 118,46,1982,2051,65,4081,17,0,123,2328,1730,38,2236,1860,0,2,4079,797,1413,9,2219,43,108,323,360,386,346,288,182,118,81,1,0 to 102,42,1074,392,294,459,423,1232,564,242,2,113,0,0,46,2236,1419,808,2219,17,0,7155,0,9438,7155,2236,46,450,446,2020-08-15 20:05:38.803527
123,TAYLOR,2126,44,63,215,436,405,336,292,201,95,35,4,0 to 118,42,826,1278,22,2117,9,0,60,1487,787,29,1092,1028,0,6,2111,244,845,0,1089,2,17,111,289,267,198,118,56,24,10,0,4 to 92,39,522,488,61,18,119,912,58,78,0,28,0,0,5,1092,845,247,1089,3,0,4351,6,5478,4357,1092,5,847,747,2020-08-15 20:05:38.803527
125,UNION,1641,18,43,112,162,227,212,471,299,81,16,0,0 to 118,55,454,1182,5,1641,0,0,85,1136,510,5,481,1160,0,0,1641,124,357,0,481,7,15,51,91,118,70,86,32,9,2,0,0 to 91,41,328,133,15,5,16,451,14,36,0,25,0,0,5,481,357,124,481,0,0,7775,0,8275,7775,481,5,357,356,2020-08-15 20:05:38.803527
999,Unknown,2146,15,28,219,305,306,317,279,182,226,257,12,0 to 119,50,1310,804,32,521,1625,0,5,1883,31,22,758,1386,0,2,520,107,110,12,229,14,22,133,153,133,119,100,44,23,8,9,0 to 94,36,58,30,34,107,72,40,117,0,5,0,3,1,0,758,362,370,229,529,0,4448,1092,6328,5540,758,0,5974,5972,2020-08-15 20:05:38.803527
127,VOLUSIA,28368,339,638,2317,3457,3340,4111,5371,4699,2556,1229,311,0 to 119,54,15760,11994,614,28226,142,0,1885,22727,6332,326,8402,19866,0,100,28127,4395,3889,59,8343,118,293,1284,1499,1198,1240,1186,810,463,273,38,0 to 103,43,3867,1102,1691,1683,1469,4697,2177,1063,9,630,7,0,163,8402,3920,4423,8343,59,0,68567,85,77163,68652,8402,163,3188,2566,2020-08-15 20:05:38.803527
129,WAKULLA,2162,30,82,220,306,333,369,379,268,129,45,1,0 to 102,48,1060,1096,6,2154,8,0,83,1286,850,42,764,1395,0,3,2151,261,497,0,758,7,27,108,154,145,132,118,47,19,7,0,1 to 91,41,482,168,52,56,45,622,91,83,0,34,1,0,5,764,499,265,758,6,0,7315,2,8116,7317,764,5,656,581,2020-08-15 20:05:38.803527
131,WALTON,3164,71,111,441,423,464,470,505,336,196,143,4,0 to 101,46,1643,1484,37,2992,172,0,203,2381,1457,161,1476,1687,0,1,2991,650,703,2,1355,19,63,329,237,247,210,206,91,55,18,1,0 to 101,39,1056,83,60,156,272,938,145,192,17,74,3,0,18,1476,760,714,1355,121,0,8634,54,10200,8688,1476,18,815,760,2020-08-15 20:05:38.803527
133,WASHINGTON,1892,37,60,168,304,298,315,330,189,131,59,1,0 to 119,47,912,938,42,1879,13,0,49,1251,986,16,922,958,0,12,1867,311,581,20,912,12,28,92,198,173,160,130,69,47,12,1,0 to 99,42,492,217,29,174,24,523,365,56,2,44,1,0,14,922,585,317,912,10,0,5472,4,6419,5476,922,14,584,528,2020-08-15 20:05:38.803527
001,ALACHUA,19245,287,398,2703,3688,2740,2657,2937,2126,1009,628,72,0 to 119,44,11009,8085,151,18940,305,0,1201,16753,2394,137,4629,14607,5,4,18931,2500,2049,22,4571,75,195,1210,1031,582,542,480,308,128,71,7,0 to 103,32,1544,1388,548,1091,540,2727,1304,411,13,216,15,1,28,4629,2083,2523,4571,58,0,70490,256,75400,70746,4629,28,247,225,2020-08-16 20:14:01.569735
003,BAKER,2053,48,48,228,397,397,338,308,157,94,36,2,0 to 99,42,835,1180,38,1995,58,0,163,1464,592,18,1077,941,0,35,1960,278,799,0,1077,5,17,111,255,257,184,156,53,30,9,0,1 to 97,40,450,139,44,444,14,543,520,66,0,38,0,0,4,1077,799,278,1077,0,0,5167,58,6327,5225,1077,4,668,667,2020-08-16 20:14:01.569735
005,BAY,7874,99,122,942,1273,1201,1347,1272,831,466,241,80,0 to 119,47,4071,3697,106,7778,96,0,992,4954,3822,158,4821,3033,0,20,7758,2309,2373,63,4745,57,90,748,914,800,832,671,404,206,70,29,0 to 99,42,2587,475,602,1081,339,2935,1471,544,14,239,5,5,64,4821,2419,2338,4745,76,0,23565,38,28482,23603,4821,64,387,380,2020-08-16 20:14:01.569735
007,BRADFORD,2039,42,60,195,271,258,316,392,229,166,104,6,0 to 118,50,1141,880,18,2037,2,0,159,1381,647,2,569,1469,0,1,2036,219,350,0,569,11,18,67,81,92,103,106,45,32,14,0,0 to 107,46,323,174,24,48,17,481,71,49,0,33,0,0,4,569,350,219,569,0,0,4262,2,4855,4264,569,4,624,593,2020-08-16 20:14:01.569735
009,BREVARD,25407,315,499,2099,2858,2936,3586,5255,4463,2432,812,152,0 to 119,55,14247,11032,128,25380,27,0,1490,21549,5378,169,6511,18878,0,18,25362,3465,2994,31,6490,67,162,1111,1098,940,945,938,571,370,291,18,0 to 105,43,3377,802,577,1734,820,3665,2005,1034,6,534,3,1,178,6511,3004,3476,6490,21,0,80463,17,87048,80480,6511,178,1485,1427,2020-08-16 20:14:01.569735
011,BROWARD,159773,3898,6527,16112,25651,25373,26801,26050,16426,8408,4297,230,0 to 120,45,85999,72480,1294,158021,1752,0,10606,111266,50478,1451,66447,93147,34,145,157845,34358,31397,166,65921,1428,3639,9630,12779,11450,10833,8857,4435,2189,1171,36,0 to 120,39,25958,17498,7485,14980,23851,27574,14496,8270,88,4470,68,26,980,66447,31738,34541,65921,526,0,394015,1310,462633,395325,66447,980,28594,28225,2020-08-16 20:14:01.569735
013,CALHOUN,1061,13,34,101,160,186,148,164,122,88,45,0,0 to 99,47,533,513,15,1061,0,0,33,547,439,12,503,557,0,1,1060,209,293,1,503,2,14,51,97,95,69,67,46,36,26,0,1 to 99,44,314,81,33,75,22,391,90,54,0,31,0,0,8,503,293,209,503,0,0,3694,0,4213,3694,503,8,551,490,2020-08-16 20:14:01.569735
015,CHARLOTTE,7362,86,97,472,678,748,1054,1391,1334,889,606,7,0 to 119,58,4192,3102,68,7340,22,0,810,5358,1992,48,2378,4967,1,16,7323,1226,1129,17,2372,23,52,251,268,255,351,428,340,230,179,1,0 to 101,54,1809,141,150,272,185,1827,360,263,1,277,1,0,100,2378,1131,1229,2372,6,0,25018,16,27445,25034,2378,100,317,298,2020-08-16 20:14:01.569735
017,CITRUS,6156,64,177,495,654,609,792,1130,1178,782,256,19,0 to 222,57,3456,2547,153,6143,13,0,383,4037,1683,45,1778,4340,1,37,6106,937,829,7,1773,16,64,229,219,195,271,341,224,143,66,10,0 to 100,51,1373,107,130,163,91,1454,228,130,0,161,0,0,40,1778,833,938,1773,5,0,17950,8,19746,17958,1778,40,2323,1872,2020-08-16 20:14:01.569735
019,CLAY,11665,179,386,1230,1447,1703,1949,1911,1563,900,373,24,0 to 101,49,6591,4912,162,11635,30,0,913,8528,2270,138,3461,8189,1,14,11620,1888,1548,13,3449,36,122,555,507,550,600,473,316,196,106,0,0 to 100,44,1767,588,294,800,336,2235,878,541,1,250,1,0,65,3461,1554,1894,3449,12,0,32838,18,36337,32856,3461,65,2288,2255,2020-08-16 20:14:01.569735
021,COLLIER,24801,633,1064,2862,3197,3393,3488,3502,3316,2442,867,37,0 to 105,48,13083,11439,279,24378,423,0,1703,17212,7477,236,10891,13717,3,190,24185,5431,5197,119,10747,296,558,1812,1769,1828,1735,1333,783,518,256,3,0 to 104,40,5293,656,1144,3654,4321,2678,3748,1243,25,768,15,6,152,10891,5263,5474,10747,144,0,54389,291,65642,54680,10891,152,6247,5267,2020-08-16 20:14:01.569735
023,COLUMBIA,6112,134,192,496,910,965,932,1067,784,390,232,10,0 to 119,48,2682,3367,63,6088,24,0,727,2987,3061,26,3038,3070,0,4,6084,894,2131,2,3027,57,102,291,565,587,529,449,276,131,50,1,0 to 102,43,1290,518,129,1090,136,1614,1277,64,1,153,2,0,26,3038,2139,897,3027,11,0,11087,13,14194,11100,3038,26,72,71,2020-08-16 20:14:01.569735
025,DADE,280567,3918,7265,28706,47907,45725,50726,44129,27555,15348,8324,964,0 to 225,46,145034,133509,2024,278654,1912,1,13895,231428,34705,1195,145307,134734,95,431,278131,73016,70403,931,144350,2136,4949,18630,26942,24347,26204,20404,11371,6398,3548,378,0 to 108,43,53475,12515,15357,63003,61346,17337,65667,13039,70,6699,38,16,2057,145307,70867,73439,144349,957,1,594944,992,743163,595936,145307,2057,13603,12865,2020-08-16 20:14:01.569735
027,DESOTO,3662,99,228,392,548,568,621,603,344,180,75,4,0 to 102,44,1505,2041,116,3649,13,0,187,2289,1401,24,1420,2234,1,7,3641,579,835,3,1417,43,121,202,272,267,220,167,85,31,12,0,0 to 97,37,873,145,93,306,677,393,347,205,1,104,1,0,20,1420,836,581,1417,3,0,8434,13,9874,8447,1420,20,1396,1262,2020-08-16 20:14:01.569735
029,DIXIE,1418,29,58,131,189,272,199,219,181,94,44,2,0 to 118,46,695,714,9,1418,0,0,58,749,631,8,591,825,0,2,1416,204,387,0,591,4,20,56,99,132,96,85,62,29,7,1,0 to 91,43,399,135,14,43,35,498,58,53,0,35,0,0,4,591,387,204,591,0,0,3730,0,4334,3730,591,4,558,503,2020-08-16 20:14:01.569735
031,DUVAL,71452,1209,2192,8118,12873,10764,10869,11360,7941,3957,2004,165,0 to 119,45,38857,31603,992,70660,792,0,2743,60877,7103,292,24629,46617,12,194,70461,12830,11310,231,24371,354,1023,3921,5594,4049,3638,2955,1764,825,474,32,0 to 103,38,6166,8080,2535,7590,1985,12432,9954,1456,31,773,17,8,222,24629,11448,12947,24371,258,0,194969,552,220369,195521,24629,222,5728,5614,2020-08-16 20:14:01.569735
033,ESCAMBIA,26490,554,803,3013,4094,3436,3568,4358,3482,1978,1093,111,0 to 119,48,14995,11356,139,23023,3467,0,1514,21319,4259,255,10265,16217,1,7,23015,4694,4550,100,9344,126,377,1780,2006,1587,1356,1305,872,543,296,17,0 to 105,39,3523,2234,780,2807,329,5837,3178,1028,10,617,8,10,152,10265,4941,5224,9344,921,0,63116,2648,76083,65764,10265,152,1214,1134,2020-08-16 20:14:01.569735
035,FLAGLER,5094,78,108,379,535,614,733,941,910,551,237,8,0 to 119,56,2952,2092,50,5053,41,0,390,3839,971,66,1160,3927,0,7,5046,634,511,4,1149,18,50,160,164,150,185,183,149,77,23,1,0 to 94,47,645,176,233,95,181,846,122,156,5,93,3,1,14,1160,517,639,1149,11,0,14738,30,15947,14768,1160,14,1329,1294,2020-08-16 20:14:01.569735
037,FRANKLIN,1044,6,29,82,172,151,144,198,160,84,18,0,0 to 95,50,421,620,3,1038,6,0,27,540,471,20,473,569,0,2,1036,90,380,0,470,0,13,40,131,102,72,74,29,10,2,0,6 to 85,39,259,196,4,11,40,368,62,14,0,6,0,0,3,473,381,92,470,3,0,3666,3,4147,3669,473,3,184,183,2020-08-16 20:14:01.569735
039,GADSDEN,4665,106,225,467,779,818,798,674,489,191,101,17,0 to 119,44,2821,1807,37,4643,21,1,349,3315,1288,29,2037,2620,1,7,4636,1010,991,28,2029,50,122,266,354,395,357,245,137,66,30,15,0 to 105,40,539,746,294,450,355,1050,624,280,0,150,0,0,28,2037,992,1017,2028,8,1,11563,16,13661,11579,2037,28,813,619,2020-08-16 20:14:01.569735
041,GILCHRIST,1171,30,48,143,158,152,163,165,129,105,78,0,0 to 118,49,671,494,6,1171,0,0,66,760,468,14,402,766,0,3,1168,212,190,0,402,9,16,60,66,45,51,52,28,35,40,0,0 to 106,45,327,27,20,28,55,314,33,43,0,24,0,0,7,402,190,212,402,0,0,3438,0,3848,3438,402,7,565,548,2020-08-16 20:14:01.569735
