County Name,Scrape Time,Total Cases,Total Deaths,Total Hospitalized
Pacific,2020-06-25 21:28:22.881126,13,1,2
Pend Oreille,2020-06-25 21:28:22.881126,3,0,0
Pierce,2020-06-25 21:28:22.881126,2361,96,396
San Juan,2020-06-25 21:28:22.881126,20,0,1
Skagit,2020-06-25 21:28:22.881126,488,15,56
Skamania,2020-06-25 21:28:22.881126,3,0,1
Snohomish,2020-06-25 21:28:22.881126,3346,165,596
Spokane,2020-06-25 21:28:22.881126,1069,38,109
Stevens,2020-06-25 21:28:22.881126,16,1,4
Thurston,2020-06-25 21:28:22.881126,226,7,35
Wahkiakum,2020-06-25 21:28:22.881126,4,0,0
Walla Walla,2020-06-25 21:28:22.881126,144,3,12
Whatcom,2020-06-25 21:28:22.881126,554,40,52
Whitman,2020-06-25 21:28:22.881126,30,0,0
Yakima,2020-06-25 21:28:22.881126,6490,146,464
Adams,2020-06-26 19:41:48.403736,110,0,8
Asotin,2020-06-26 19:41:48.403736,20,2,1
Benton,2020-06-26 19:41:48.403736,1556,76,190
Chelan,2020-06-26 19:41:48.403736,296,6,19
Clallam,2020-06-26 19:41:48.403736,33,0,3
Clark,2020-06-26 19:41:48.403736,681,30,99
Columbia,2020-06-26 19:41:48.403736,8,0,1
Cowlitz,2020-06-26 19:41:48.403736,158,0,18
Douglas,2020-06-26 19:41:48.403736,208,3,12
Ferry,2020-06-26 19:41:48.403736,1,0,0
Franklin,2020-06-26 19:41:48.403736,1451,32,132
Garfield,2020-06-26 19:41:48.403736,0,0,0
Grant,2020-06-26 19:41:48.403736,438,6,37
Grays Harbor,2020-06-26 19:41:48.403736,24,0,8
Island,2020-06-26 19:41:48.403736,191,12,32
Jefferson,2020-06-26 19:41:48.403736,36,0,8
King,2020-06-26 19:41:48.403736,9573,606,1737
Kitsap,2020-06-26 19:41:48.403736,200,2,28
Kittitas,2020-06-26 19:41:48.403736,112,0,3
Klickitat,2020-06-26 19:41:48.403736,55,3,8
Lewis,2020-06-26 19:41:48.403736,53,3,13
Lincoln,2020-06-26 19:41:48.403736,2,0,0
Mason,2020-06-26 19:41:48.403736,46,1,5
Okanogan,2020-06-26 19:41:48.403736,63,2,5
Pacific,2020-06-26 19:41:48.403736,12,1,2
Pend Oreille,2020-06-26 19:41:48.403736,3,0,0
Pierce,2020-06-26 19:41:48.403736,2400,97,398
San Juan,2020-06-26 19:41:48.403736,19,0,1
Skagit,2020-06-26 19:41:48.403736,491,15,56
Skamania,2020-06-26 19:41:48.403736,3,0,1
Snohomish,2020-06-26 19:41:48.403736,3371,165,598
Spokane,2020-06-26 19:41:48.403736,1098,38,112
Stevens,2020-06-26 19:41:48.403736,16,1,4
Thurston,2020-06-26 19:41:48.403736,224,7,34
Wahkiakum,2020-06-26 19:41:48.403736,5,0,0
Walla Walla,2020-06-26 19:41:48.403736,147,3,12
Whatcom,2020-06-26 19:41:48.403736,574,40,52
Whitman,2020-06-26 19:41:48.403736,33,0,0
Yakima,2020-06-26 19:41:48.403736,6607,149,468
Adams,2020-06-27 21:31:31.131059,113,0,8
Asotin,2020-06-27 21:31:31.131059,20,2,1
Benton,2020-06-27 21:31:31.131059,1657,75,201
Chelan,2020-06-27 21:31:31.131059,314,6,19
Clallam,2020-06-27 21:31:31.131059,35,0,3
Clark,2020-06-27 21:31:31.131059,692,30,104
Columbia,2020-06-27 21:31:31.131059,8,0,2
Cowlitz,2020-06-27 21:31:31.131059,170,0,19
Douglas,2020-06-27 21:31:31.131059,223,3,12
Ferry,2020-06-27 21:31:31.131059,1,0,0
Franklin,2020-06-27 21:31:31.131059,1555,32,140
Garfield,2020-06-27 21:31:31.131059,0,0,0
Grant,2020-06-27 21:31:31.131059,457,6,40
Grays Harbor,2020-06-27 21:31:31.131059,25,0,8
Island,2020-06-27 21:31:31.131059,192,12,33
Jefferson,2020-06-27 21:31:31.131059,37,0,8
King,2020-06-27 21:31:31.131059,9809,610,1770
Kitsap,2020-06-27 21:31:31.131059,211,2,30
Kittitas,2020-06-27 21:31:31.131059,117,0,3
Klickitat,2020-06-27 21:31:31.131059,57,3,8
Lewis,2020-06-27 21:31:31.131059,60,3,14
Lincoln,2020-06-27 21:31:31.131059,3,0,0
Mason,2020-06-27 21:31:31.131059,46,1,5
Okanogan,2020-06-27 21:31:31.131059,67,2,5
Pacific,2020-06-27 21:31:31.131059,12,1,2
Pend Oreille,2020-06-27 21:31:31.131059,3,0,0
Pierce,2020-06-27 21:31:31.131059,2465,97,408
San Juan,2020-06-27 21:31:31.131059,19,0,1
Skagit,2020-06-27 21:31:31.131059,502,15,56
Skamania,2020-06-27 21:31:31.131059,4,0,2
Snohomish,2020-06-27 21:31:31.131059,3431,168,606
Spokane,2020-06-27 21:31:31.131059,1179,39,124
Stevens,2020-06-27 21:31:31.131059,16,1,4
Thurston,2020-06-27 21:31:31.131059,230,7,35
Wahkiakum,2020-06-27 21:31:31.131059,5,0,0
Walla Walla,2020-06-27 21:31:31.131059,152,3,13
Whatcom,2020-06-27 21:31:31.131059,599,40,55
Whitman,2020-06-27 21:31:31.131059,37,0,1
Yakima,2020-06-27 21:31:31.131059,6828,152,498
Adams,2020-06-28 20:06:30.834739,130,0,8
Asotin,2020-06-28 20:06:30.834739,21,2,1
Benton,2020-06-28 20:06:30.834739,1686,75,207
Chelan,2020-06-28 20:06:30.834739,315,6,19
Clallam,2020-06-28 20:06:30.834739,36,0,3
Clark,2020-06-28 20:06:30.834739,697,30,105
Columbia,2020-06-28 20:06:30.834739,8,0,2
Cowlitz,2020-06-28 20:06:30.834739,170,0,19
Douglas,2020-06-28 20:06:30.834739,230,3,12
Ferry,2020-06-28 20:06:30.834739,1,0,0
Franklin,2020-06-28 20:06:30.834739,1578,32,142
Garfield,2020-06-28 20:06:30.834739,0,0,0
Grant,2020-06-28 20:06:30.834739,472,6,41
Grays Harbor,2020-06-28 20:06:30.834739,26,0,8
Island,2020-06-28 20:06:30.834739,192,12,33
Jefferson,2020-06-28 20:06:30.834739,37,0,8
King,2020-06-28 20:06:30.834739,9895,610,1782
Kitsap,2020-06-28 20:06:30.834739,213,2,30
Kittitas,2020-06-28 20:06:30.834739,122,0,4
Klickitat,2020-06-28 20:06:30.834739,59,3,8
Lewis,2020-06-28 20:06:30.834739,64,3,14
Lincoln,2020-06-28 20:06:30.834739,3,0,0
Mason,2020-06-28 20:06:30.834739,47,1,5
Okanogan,2020-06-28 20:06:30.834739,67,2,5
Pacific,2020-06-28 20:06:30.834739,13,1,2
Pend Oreille,2020-06-28 20:06:30.834739,3,0,0
Pierce,2020-06-28 20:06:30.834739,2485,97,410
San Juan,2020-06-28 20:06:30.834739,19,0,1
Skagit,2020-06-28 20:06:30.834739,503,15,56
Skamania,2020-06-28 20:06:30.834739,4,0,2
Snohomish,2020-06-28 20:06:30.834739,3438,168,607
Spokane,2020-06-28 20:06:30.834739,1193,39,126
Stevens,2020-06-28 20:06:30.834739,17,1,5
Thurston,2020-06-28 20:06:30.834739,237,7,35
Wahkiakum,2020-06-28 20:06:30.834739,5,0,0
Walla Walla,2020-06-28 20:06:30.834739,158,3,13
Whatcom,2020-06-28 20:06:30.834739,600,40,55
Whitman,2020-06-28 20:06:30.834739,37,0,1
Yakima,2020-06-28 20:06:30.834739,6920,152,504
Adams,2020-06-29 22:58:37.025962,130,0,9
Asotin,2020-06-29 22:58:37.025962,21,2,1
Benton,2020-06-29 22:58:37.025962,1718,79,218
Chelan,2020-06-29 22:58:37.025962,325,6,19
Clallam,2020-06-29 22:58:37.025962,36,0,3
Clark,2020-06-29 22:58:37.025962,700,30,106
Columbia,2020-06-29 22:58:37.025962,8,0,2
Cowlitz,2020-06-29 22:58:37.025962,172,0,19
Douglas,2020-06-29 22:58:37.025962,233,3,12
Ferry,2020-06-29 22:58:37.025962,1,0,0
Franklin,2020-06-29 22:58:37.025962,1610,33,150
Garfield,2020-06-29 22:58:37.025962,0,0,0
Grant,2020-06-29 22:58:37.025962,487,6,44
Grays Harbor,2020-06-29 22:58:37.025962,26,0,8
Island,2020-06-29 22:58:37.025962,192,12,33
Jefferson,2020-06-29 22:58:37.025962,38,0,8
King,2020-06-29 22:58:37.025962,10019,610,1789
Kitsap,2020-06-29 22:58:37.025962,212,2,31
Kittitas,2020-06-29 22:58:37.025962,127,0,5
Klickitat,2020-06-29 22:58:37.025962,60,3,8
Lewis,2020-06-29 22:58:37.025962,64,3,14
Lincoln,2020-06-29 22:58:37.025962,3,0,0
Mason,2020-06-29 22:58:37.025962,47,1,5
Okanogan,2020-06-29 22:58:37.025962,70,2,5
Pacific,2020-06-29 22:58:37.025962,13,1,2
Pend Oreille,2020-06-29 22:58:37.025962,4,0,0
Pierce,2020-06-29 22:58:37.025962,2510,98,412
San Juan,2020-06-29 22:58:37.025962,19,0,1
Skagit,2020-06-29 22:58:37.025962,512,15,56
Skamania,2020-06-29 22:58:37.025962,4,0,2
Snohomish,2020-06-29 22:58:37.025962,3463,170,608
Spokane,2020-06-29 22:58:37.025962,1236,39,127
Stevens,2020-06-29 22:58:37.025962,17,1,5
Thurston,2020-06-29 22:58:37.025962,241,7,37
Wahkiakum,2020-06-29 22:58:37.025962,5,0,0
Walla Walla,2020-06-29 22:58:37.025962,161,3,13
Whatcom,2020-06-29 22:58:37.025962,615,40,55
Whitman,2020-06-29 22:58:37.025962,37,0,1
Yakima,2020-06-29 22:58:37.025962,7008,154,510
Adams,2020-06-30 20:18:23.195876,134,0,9
Asotin,2020-06-30 20:18:23.195876,21,2,1
Benton,2020-06-30 20:18:23.195876,1731,82,221
Chelan,2020-06-30 20:18:23.195876,330,6,19
Clallam,2020-06-30 20:18:23.195876,36,0,3
Clark,2020-06-30 20:18:23.195876,731,30,106
Columbia,2020-06-30 20:18:23.195876,8,0,2
Cowlitz,2020-06-30 20:18:23.195876,179,0,20
Douglas,2020-06-30 20:18:23.195876,233,3,12
Ferry,2020-06-30 20:18:23.195876,1,0,0
Franklin,2020-06-30 20:18:23.195876,1640,33,158
Garfield,2020-06-30 20:18:23.195876,0,0,0
Grant,2020-06-30 20:18:23.195876,511,6,47
Grays Harbor,2020-06-30 20:18:23.195876,27,0,8
Island,2020-06-30 20:18:23.195876,192,12,33
Jefferson,2020-06-30 20:18:23.195876,38,0,8
King,2020-06-30 20:18:23.195876,10177,610,1799
Kitsap,2020-06-30 20:18:23.195876,221,2,32
Kittitas,2020-06-30 20:18:23.195876,128,0,5
Klickitat,2020-06-30 20:18:23.195876,59,3,8
Lewis,2020-06-30 20:18:23.195876,65,3,14
Lincoln,2020-06-30 20:18:23.195876,4,0,0
Mason,2020-06-30 20:18:23.195876,50,1,5
Okanogan,2020-06-30 20:18:23.195876,77,2,5
Pacific,2020-06-30 20:18:23.195876,17,1,2
Pend Oreille,2020-06-30 20:18:23.195876,4,0,0
