County Name,Scrape Time,Total Cases,Total Deaths,Total Tested: Negative
Yamhill,2020-07-05 20:11:33.780733,131,8,5423
Baker,2020-07-06 20:09:47.470709,5,0,546
Benton,2020-07-06 20:09:47.470709,95,5,6263
Clackamas,2020-07-06 20:09:47.470709,861,25,25014
Clatsop,2020-07-06 20:09:47.470709,54,0,2528
Columbia,2020-07-06 20:09:47.470709,42,0,2969
Coos,2020-07-06 20:09:47.470709,42,0,2896
Crook,2020-07-06 20:09:47.470709,13,0,1107
Curry,2020-07-06 20:09:47.470709,8,0,738
Deschutes,2020-07-06 20:09:47.470709,221,0,11575
Douglas,2020-07-06 20:09:47.470709,51,0,5415
Gilliam,2020-07-06 20:09:47.470709,1,0,107
Grant,2020-07-06 20:09:47.470709,1,0,205
Harney,2020-07-06 20:09:47.470709,1,0,423
Hood River,2020-07-06 20:09:47.470709,94,0,2463
Jackson,2020-07-06 20:09:47.470709,152,0,12954
Jefferson,2020-07-06 20:09:47.470709,134,0,2093
Josephine,2020-07-06 20:09:47.470709,56,1,4584
Klamath,2020-07-06 20:09:47.470709,130,1,5283
Lake,2020-07-06 20:09:47.470709,21,0,261
Lane,2020-07-06 20:09:47.470709,228,3,25694
Lincoln,2020-07-06 20:09:47.470709,346,4,4757
Linn,2020-07-06 20:09:47.470709,157,9,7078
Malheur,2020-07-06 20:09:47.470709,216,1,1820
Marion,2020-07-06 20:09:47.470709,1661,48,18304
Morrow,2020-07-06 20:09:47.470709,107,1,568
Multnomah,2020-07-06 20:09:47.470709,2529,69,56298
Polk,2020-07-06 20:09:47.470709,160,12,3067
Sherman,2020-07-06 20:09:47.470709,3,0,164
Tillamook,2020-07-06 20:09:47.470709,15,0,1439
Umatilla,2020-07-06 20:09:47.470709,772,6,4549
Union,2020-07-06 20:09:47.470709,356,1,1732
Wallowa,2020-07-06 20:09:47.470709,10,0,452
