County Name,Scrape Time,Total Deaths
Todd,2020-08-02 20:30:32.052212,1
Union,2020-08-02 20:30:32.052212,1
Beadle,2020-08-03 20:20:49.549501,6
Brown,2020-08-03 20:20:49.549501,2
Buffalo,2020-08-03 20:20:49.549501,2
Faulk,2020-08-03 20:20:49.549501,1
Jackson,2020-08-03 20:20:49.549501,1
Jerauld,2020-08-03 20:20:49.549501,1
Lake,2020-08-03 20:20:49.549501,1
Lincoln,2020-08-03 20:20:49.549501,1
McCook,2020-08-03 20:20:49.549501,1
Meade,2020-08-03 20:20:49.549501,1
Minnehaha,2020-08-03 20:20:49.549501,58
Pennington,2020-08-03 20:20:49.549501,16
Todd,2020-08-03 20:20:49.549501,1
Union,2020-08-03 20:20:49.549501,1
Beadle,2020-08-04 20:06:28.736048,6
Brown,2020-08-04 20:06:28.736048,2
Buffalo,2020-08-04 20:06:28.736048,2
Faulk,2020-08-04 20:06:28.736048,1
Jackson,2020-08-04 20:06:28.736048,1
Jerauld,2020-08-04 20:06:28.736048,1
Lake,2020-08-04 20:06:28.736048,1
Lincoln,2020-08-04 20:06:28.736048,1
McCook,2020-08-04 20:06:28.736048,1
Meade,2020-08-04 20:06:28.736048,1
Minnehaha,2020-08-04 20:06:28.736048,58
Pennington,2020-08-04 20:06:28.736048,16
Todd,2020-08-04 20:06:28.736048,1
Union,2020-08-04 20:06:28.736048,1
Beadle,2020-08-05 20:12:38.112695,6
Brown,2020-08-05 20:12:38.112695,2
Buffalo,2020-08-05 20:12:38.112695,2
Faulk,2020-08-05 20:12:38.112695,1
Jackson,2020-08-05 20:12:38.112695,1
Jerauld,2020-08-05 20:12:38.112695,1
Lake,2020-08-05 20:12:38.112695,1
Lincoln,2020-08-05 20:12:38.112695,1
McCook,2020-08-05 20:12:38.112695,1
