County Name,Scrape Time,Total Deaths,Total Negative Cases,Total Positive Cases,Total Recovered Cases
Sanborn,2020-08-30 19:55:40.823887,0,259,15,13
Spink,2020-08-30 19:55:40.823887,0,1294,52,31
Stanley,2020-08-30 19:55:40.823887,0,306,21,20
Sully,2020-08-30 19:55:40.823887,0,103,8,6
Todd,2020-08-30 19:55:40.823887,5,2451,78,70
Lincoln,2020-08-31 21:25:06.272091,2,8040,907,757
Lyman,2020-08-31 21:25:06.272091,3,1080,105,86
Marshall,2020-08-31 21:25:06.272091,0,528,19,12
McCook,2020-08-31 21:25:06.272091,1,727,52,36
McPherson,2020-08-31 21:25:06.272091,0,250,10,9
Meade,2020-08-31 21:25:06.272091,1,2289,300,140
Mellette,2020-08-31 21:25:06.272091,0,409,24,24
Miner,2020-08-31 21:25:06.272091,0,279,16,15
Minnehaha,2020-08-31 21:25:06.272091,70,31650,5267,4641
Moody,2020-08-31 21:25:06.272091,0,718,41,36
Oglala Lakota,2020-08-31 21:25:06.272091,2,3063,174,149
Pennington,2020-08-31 21:25:06.272091,33,12313,1432,952
Perkins,2020-08-31 21:25:06.272091,0,228,16,6
Potter,2020-08-31 21:25:06.272091,0,346,16,5
Roberts,2020-08-31 21:25:06.272091,1,2143,100,86
Sanborn,2020-08-31 21:25:06.272091,0,260,15,13
Spink,2020-08-31 21:25:06.272091,0,1299,52,33
Stanley,2020-08-31 21:25:06.272091,0,307,21,20
Sully,2020-08-31 21:25:06.272091,0,104,8,6
Todd,2020-08-31 21:25:06.272091,5,2455,78,70
Lincoln,2020-09-01 20:07:26.520193,2,8125,919,763
Lyman,2020-09-01 20:07:26.520193,3,1093,105,86
Marshall,2020-09-01 20:07:26.520193,0,531,19,14
McCook,2020-09-01 20:07:26.520193,1,731,53,36
McPherson,2020-09-01 20:07:26.520193,0,252,10,9
Meade,2020-09-01 20:07:26.520193,1,2286,305,156
Mellette,2020-09-01 20:07:26.520193,0,409,24,24
Miner,2020-09-01 20:07:26.520193,0,280,16,15
Minnehaha,2020-09-01 20:07:26.520193,70,31907,5340,4688
Moody,2020-09-01 20:07:26.520193,0,721,42,36
Oglala Lakota,2020-09-01 20:07:26.520193,2,3064,176,151
Pennington,2020-09-01 20:07:26.520193,33,12341,1448,987
Perkins,2020-09-01 20:07:26.520193,0,230,16,7
Potter,2020-09-01 20:07:26.520193,0,346,16,5
